Epoch,Training_Loss,Validation_Loss
1,0.4407725632190704,0.1339264959096908
2,0.1706811487674713,0.11061742156744
3,0.1459652483463287,0.0952530279755592
4,0.1266191601753235,0.0789985060691833
5,0.1164939254522323,0.0705100446939468
6,0.1064907684922218,0.0687554702162742
7,0.0986612811684608,0.0601363368332386
8,0.0938863009214401,0.0546627379953861
9,0.0871210768818855,0.0487169362604618
10,0.0837834402918815,0.0457098819315433
11,0.0813218653202056,0.0445808991789817
12,0.0770231708884239,0.0411883220076561
13,0.072126604616642,0.0391880013048648
14,0.0714045614004135,0.0378758534789085
15,0.0695519000291824,0.0356861092150211
16,0.067795991897583,0.0337670221924781
17,0.0644147992134094,0.0377430953085422
18,0.0626465082168579,0.0303732529282569
19,0.0621922090649604,0.0310644153505563
20,0.0606206990778446,0.0303510557860136
