filename,x,y,distance
0.jpg,215,158,351
1.jpg,228,269,372
2.jpg,255,386,488
3.jpg,306,426,308
4.jpg,248,338,67
5.jpg,259,436,372
6.jpg,223,343,142
7.jpg,300,159,206
8.jpg,286,443,201
9.jpg,256,295,204
10.jpg,281,84,105
11.jpg,322,169,221
12.jpg,259,108,317
13.jpg,284,440,437
14.jpg,264,461,220
15.jpg,212,454,368
16.jpg,269,474,248
17.jpg,284,192,126
18.jpg,202,302,190
19.jpg,229,167,228
20.jpg,244,102,161
21.jpg,212,271,349
22.jpg,311,473,484
23.jpg,322,62,297
24.jpg,239,367,153
25.jpg,269,266,192
26.jpg,274,233,371
27.jpg,294,472,330
28.jpg,281,474,107
29.jpg,248,446,313
30.jpg,272,289,157
31.jpg,278,302,111
32.jpg,236,99,465
33.jpg,215,367,209
34.jpg,241,120,209
35.jpg,273,349,364
36.jpg,316,479,408
37.jpg,312,205,256
38.jpg,253,184,96
39.jpg,208,325,400
40.jpg,234,229,432
41.jpg,256,379,112
42.jpg,243,281,338
43.jpg,239,456,108
44.jpg,288,202,156
45.jpg,244,284,346
46.jpg,280,76,479
47.jpg,285,276,295
48.jpg,261,409,401
49.jpg,326,490,220
50.jpg,311,261,211
51.jpg,211,325,243
52.jpg,229,220,373
53.jpg,291,453,292
54.jpg,308,222,106
55.jpg,245,244,352
56.jpg,277,289,173
57.jpg,243,222,358
58.jpg,208,271,450
59.jpg,202,464,476
60.jpg,279,174,133
61.jpg,288,73,195
62.jpg,240,169,170
63.jpg,266,246,219
64.jpg,219,448,166
65.jpg,295,272,95
66.jpg,287,384,367
67.jpg,291,203,359
68.jpg,262,300,241
69.jpg,262,193,367
70.jpg,293,197,353
71.jpg,326,264,113
72.jpg,218,197,400
73.jpg,275,272,106
74.jpg,264,109,247
75.jpg,300,503,448
76.jpg,256,190,265
77.jpg,221,156,171
78.jpg,237,70,342
79.jpg,256,348,190
80.jpg,308,401,407
81.jpg,212,276,352
82.jpg,325,421,146
83.jpg,237,284,251
84.jpg,311,201,282
85.jpg,233,68,210
86.jpg,267,261,214
87.jpg,292,465,424
88.jpg,229,63,209
89.jpg,255,190,125
90.jpg,311,272,185
91.jpg,260,299,321
92.jpg,262,240,94
93.jpg,266,274,414
94.jpg,313,74,258
95.jpg,310,333,288
96.jpg,282,79,214
97.jpg,223,356,167
98.jpg,274,124,271
99.jpg,231,277,368
100.jpg,258,351,344
101.jpg,263,147,337
102.jpg,304,401,345
103.jpg,318,421,143
104.jpg,254,455,445
105.jpg,307,425,352
106.jpg,311,110,453
107.jpg,217,227,87
108.jpg,203,99,301
109.jpg,285,262,70
110.jpg,259,445,371
111.jpg,309,441,412
112.jpg,212,485,264
113.jpg,308,473,394
114.jpg,273,168,321
115.jpg,278,393,323
116.jpg,204,330,435
117.jpg,210,233,112
118.jpg,314,71,177
119.jpg,292,250,286
120.jpg,243,334,172
121.jpg,315,107,132
122.jpg,213,257,68
123.jpg,256,97,457
124.jpg,247,200,204
125.jpg,266,197,184
126.jpg,305,388,433
127.jpg,290,321,478
128.jpg,252,439,399
129.jpg,241,252,277
130.jpg,236,331,105
131.jpg,288,214,433
132.jpg,227,58,463
133.jpg,230,117,402
134.jpg,313,56,268
135.jpg,325,493,481
136.jpg,252,315,268
137.jpg,300,295,433
138.jpg,299,145,360
139.jpg,314,307,102
140.jpg,239,89,266
141.jpg,284,222,462
142.jpg,245,109,261
143.jpg,248,288,267
144.jpg,214,329,168
145.jpg,219,207,415
146.jpg,303,197,448
147.jpg,266,101,222
148.jpg,211,149,393
149.jpg,280,343,472
150.jpg,248,368,407
151.jpg,304,295,372
152.jpg,266,393,255
153.jpg,272,335,465
154.jpg,308,254,352
155.jpg,230,83,279
156.jpg,207,196,159
157.jpg,233,54,176
158.jpg,232,157,344
159.jpg,231,66,217
160.jpg,247,349,151
161.jpg,248,77,251
162.jpg,244,396,438
163.jpg,222,489,254
164.jpg,208,195,394
