filename,x,y,distance
9254.jpg,323,305,200
1561.jpg,237,118,262
1670.jpg,321,186,80
6087.jpg,297,460,333
6669.jpg,320,286,153
5933.jpg,237,424,151
8829.jpg,252,342,179
7945.jpg,285,267,224
3508.jpg,249,310,320
2002.jpg,244,366,169
5866.jpg,217,131,415
168.jpg,209,345,351
2588.jpg,216,59,330
5905.jpg,328,152,215
9529.jpg,240,412,395
6384.jpg,288,216,306
7824.jpg,327,159,308
9779.jpg,231,359,178
4629.jpg,199,462,428
8560.jpg,215,157,327
9291.jpg,274,227,206
6874.jpg,290,459,154
6521.jpg,316,320,449
8979.jpg,247,175,346
6647.jpg,312,224,392
9825.jpg,208,163,269
210.jpg,235,313,337
5278.jpg,213,409,345
1919.jpg,244,250,234
718.jpg,252,232,265
4868.jpg,219,187,239
7834.jpg,311,146,314
1298.jpg,208,416,242
9193.jpg,295,137,417
4617.jpg,244,460,476
3128.jpg,321,391,264
9795.jpg,226,380,264
3979.jpg,266,132,112
9924.jpg,315,77,320
8317.jpg,316,266,209
4393.jpg,282,479,215
1287.jpg,262,179,120
4355.jpg,325,410,105
7013.jpg,297,320,488
3885.jpg,227,180,329
5749.jpg,235,154,446
9169.jpg,248,262,445
2407.jpg,314,124,385
2013.jpg,308,153,412
5153.jpg,218,137,168
8551.jpg,227,278,200
4376.jpg,309,402,479
8822.jpg,272,296,376
4273.jpg,297,337,264
5825.jpg,246,222,397
6699.jpg,228,451,67
7243.jpg,325,335,117
449.jpg,234,319,346
2227.jpg,268,360,148
5756.jpg,298,231,448
810.jpg,324,265,148
4180.jpg,226,318,475
9000.jpg,303,341,208
5438.jpg,234,136,154
7533.jpg,293,239,194
6369.jpg,256,478,252
8416.jpg,232,504,275
1477.jpg,253,242,431
1790.jpg,263,185,243
2008.jpg,321,146,398
682.jpg,253,244,297
2816.jpg,254,329,467
9431.jpg,261,242,391
3774.jpg,253,415,351
6495.jpg,267,206,419
8878.jpg,304,145,85
7361.jpg,204,367,131
8366.jpg,241,403,481
7474.jpg,319,178,386
46.jpg,280,76,479
30.jpg,272,289,157
8250.jpg,244,157,163
6935.jpg,279,114,394
1468.jpg,278,82,111
1665.jpg,207,166,380
1416.jpg,319,71,198
6480.jpg,203,147,216
4852.jpg,284,94,294
2470.jpg,277,72,108
4373.jpg,275,290,436
8524.jpg,231,329,395
429.jpg,284,398,365
5244.jpg,283,78,118
2119.jpg,249,403,84
385.jpg,212,499,461
1945.jpg,277,228,353
4224.jpg,215,136,274
473.jpg,227,307,371
2129.jpg,301,469,349
6556.jpg,217,117,147
6998.jpg,303,436,419
1055.jpg,316,254,382
3274.jpg,301,380,255
4961.jpg,317,306,203
5363.jpg,220,376,282
5816.jpg,244,123,279
811.jpg,225,111,487
4573.jpg,204,248,438
6137.jpg,264,367,224
2388.jpg,257,132,396
9648.jpg,261,70,375
6225.jpg,280,277,111
111.jpg,309,441,412
8909.jpg,224,270,214
1745.jpg,228,486,196
7851.jpg,238,166,69
1452.jpg,267,336,104
319.jpg,310,420,264
8593.jpg,264,260,148
3333.jpg,309,376,361
1922.jpg,266,268,194
5865.jpg,272,335,276
9528.jpg,220,256,216
3685.jpg,222,139,270
4275.jpg,275,160,284
4889.jpg,278,268,480
5225.jpg,320,440,442
7472.jpg,240,270,411
3605.jpg,307,120,270
1052.jpg,306,206,201
4156.jpg,233,445,107
9676.jpg,213,187,454
99.jpg,231,277,368
7508.jpg,225,326,407
1456.jpg,297,146,386
7688.jpg,259,488,231
4004.jpg,234,153,81
6866.jpg,224,77,201
4509.jpg,268,447,211
3299.jpg,252,192,486
3799.jpg,210,137,76
4281.jpg,259,217,85
9051.jpg,328,338,302
6462.jpg,224,112,189
7912.jpg,299,389,465
1414.jpg,209,283,479
540.jpg,205,309,373
5815.jpg,245,295,336
8199.jpg,217,334,138
3680.jpg,273,268,363
754.jpg,326,165,396
4196.jpg,227,95,380
2650.jpg,220,455,256
4522.jpg,210,415,445
9519.jpg,280,469,176
3118.jpg,279,274,236
3728.jpg,321,185,468
3886.jpg,272,179,317
7107.jpg,246,276,101
8068.jpg,321,185,255
7325.jpg,247,112,226
8483.jpg,283,397,356
8767.jpg,280,303,243
6500.jpg,293,100,399
8426.jpg,253,438,489
7963.jpg,236,455,191
601.jpg,318,254,337
9249.jpg,264,139,345
8919.jpg,292,317,463
6814.jpg,329,405,65
5411.jpg,262,131,489
8747.jpg,234,259,181
5522.jpg,322,76,452
1044.jpg,213,450,306
7334.jpg,298,110,464
1557.jpg,279,427,176
3739.jpg,326,324,362
3522.jpg,212,400,296
180.jpg,223,291,177
2115.jpg,297,329,446
1699.jpg,296,134,277
1379.jpg,270,336,403
7229.jpg,284,77,400
9143.jpg,275,274,385
618.jpg,302,84,483
3181.jpg,256,269,108
9851.jpg,323,276,234
1600.jpg,218,117,194
5963.jpg,291,129,475
1615.jpg,212,253,252
5920.jpg,316,155,450
9591.jpg,213,184,450
3891.jpg,326,159,198
2083.jpg,216,129,298
4574.jpg,322,369,231
5594.jpg,289,101,473
5121.jpg,222,254,234
4587.jpg,272,415,465
4902.jpg,298,181,377
8252.jpg,285,108,410
5916.jpg,270,272,374
5129.jpg,210,365,183
8334.jpg,282,384,374
1918.jpg,319,400,223
8330.jpg,296,129,418
5707.jpg,241,476,73
5384.jpg,220,383,394
6336.jpg,216,437,282
2054.jpg,223,237,261
7612.jpg,237,72,358
9209.jpg,272,236,445
3963.jpg,314,214,185
1126.jpg,270,386,109
3428.jpg,317,65,379
4601.jpg,293,307,71
3721.jpg,307,152,381
2389.jpg,228,157,246
1322.jpg,297,373,195
1603.jpg,311,177,143
7224.jpg,294,69,239
7425.jpg,320,287,322
4336.jpg,285,349,296
5593.jpg,214,418,282
4411.jpg,249,111,411
5858.jpg,290,281,478
9343.jpg,311,455,137
3991.jpg,289,127,229
6079.jpg,224,484,83
1559.jpg,286,478,308
4682.jpg,245,97,156
7557.jpg,293,429,349
3772.jpg,233,454,408
8779.jpg,267,477,221
3457.jpg,285,490,226
8383.jpg,328,360,309
1354.jpg,203,496,326
45.jpg,244,284,346
9872.jpg,234,407,450
748.jpg,280,385,445
7917.jpg,206,233,220
4241.jpg,310,207,304
5628.jpg,275,212,369
4657.jpg,257,316,97
4238.jpg,281,254,384
3460.jpg,283,447,149
7381.jpg,277,302,162
5549.jpg,264,391,393
7075.jpg,273,143,312
5838.jpg,211,378,249
8091.jpg,228,86,461
5474.jpg,326,325,246
3614.jpg,302,180,251
7501.jpg,315,480,171
7053.jpg,239,243,328
7367.jpg,331,426,239
8019.jpg,203,447,468
9638.jpg,299,332,97
9055.jpg,313,225,471
664.jpg,211,123,279
2319.jpg,232,295,475
3542.jpg,251,496,196
3677.jpg,229,125,167
9599.jpg,321,317,341
3091.jpg,327,436,436
675.jpg,297,139,316
8676.jpg,276,318,201
4884.jpg,292,251,173
8079.jpg,315,264,175
1962.jpg,249,166,90
1840.jpg,245,222,157
7168.jpg,283,127,222
9898.jpg,306,71,293
3538.jpg,223,482,278
8026.jpg,247,204,143
4866.jpg,322,220,205
4174.jpg,321,279,375
8088.jpg,318,70,124
4377.jpg,296,343,236
6211.jpg,280,369,250
4766.jpg,268,485,172
411.jpg,321,484,128
613.jpg,275,360,414
6126.jpg,271,160,481
5210.jpg,310,216,437
1430.jpg,220,231,294
2425.jpg,257,311,149
8841.jpg,275,322,359
3833.jpg,294,66,275
4718.jpg,269,174,266
7185.jpg,206,227,458
1417.jpg,319,165,347
7199.jpg,204,246,158
604.jpg,297,226,192
1272.jpg,265,338,315
3964.jpg,206,403,350
6367.jpg,207,412,173
8746.jpg,231,75,444
247.jpg,326,324,98
9226.jpg,277,306,433
1982.jpg,284,235,174
2835.jpg,298,193,343
5375.jpg,277,466,314
199.jpg,264,365,344
485.jpg,283,317,189
6083.jpg,270,114,355
8956.jpg,318,209,402
455.jpg,279,176,459
9798.jpg,284,259,194
8826.jpg,327,304,408
6515.jpg,266,486,265
1721.jpg,328,230,140
7050.jpg,303,330,244
6382.jpg,311,175,315
8165.jpg,283,335,96
5767.jpg,219,175,460
5809.jpg,299,353,347
4626.jpg,238,388,472
862.jpg,283,83,232
2094.jpg,216,430,434
947.jpg,292,493,141
5641.jpg,263,295,141
1444.jpg,258,225,171
1280.jpg,262,267,391
3110.jpg,280,208,128
8952.jpg,290,409,166
7609.jpg,313,421,196
5135.jpg,213,313,308
3016.jpg,204,54,149
2302.jpg,211,130,386
2004.jpg,214,460,419
4580.jpg,318,172,369
8704.jpg,264,239,398
1005.jpg,255,82,407
5138.jpg,327,373,262
4317.jpg,286,367,121
6558.jpg,211,86,424
4387.jpg,204,494,220
2132.jpg,324,245,251
4265.jpg,226,235,264
2057.jpg,272,258,288
5386.jpg,246,476,213
229.jpg,208,301,444
2889.jpg,243,283,153
4472.jpg,302,173,163
6064.jpg,314,328,434
7924.jpg,325,266,259
7649.jpg,295,78,436
8381.jpg,201,150,93
209.jpg,243,136,443
2758.jpg,267,224,490
8471.jpg,281,162,157
2948.jpg,319,222,425
7116.jpg,266,218,442
6330.jpg,305,180,425
1728.jpg,246,291,228
4176.jpg,239,277,340
337.jpg,317,375,409
4984.jpg,290,189,117
6878.jpg,310,100,390
7248.jpg,217,306,149
8452.jpg,313,258,186
1226.jpg,304,190,445
7608.jpg,256,385,120
6827.jpg,323,385,306
3540.jpg,209,177,374
5868.jpg,314,167,421
2111.jpg,205,131,449
2691.jpg,261,392,306
7153.jpg,213,238,260
3707.jpg,233,113,272
1017.jpg,248,457,174
8511.jpg,267,223,254
2807.jpg,325,133,300
5015.jpg,325,293,385
1928.jpg,315,230,367
350.jpg,275,175,281
5173.jpg,325,208,220
4192.jpg,281,434,238
1934.jpg,316,86,235
6901.jpg,283,326,366
4823.jpg,312,195,457
564.jpg,274,206,140
1582.jpg,262,414,224
4694.jpg,214,90,427
2175.jpg,238,490,315
7028.jpg,281,489,185
4880.jpg,298,322,252
2228.jpg,234,402,320
1115.jpg,273,213,235
3126.jpg,207,142,448
3544.jpg,269,170,268
5048.jpg,275,490,351
7476.jpg,222,226,267
821.jpg,268,421,317
6532.jpg,225,201,283
2272.jpg,299,470,152
5545.jpg,207,379,119
81.jpg,212,276,352
1323.jpg,221,81,167
9405.jpg,322,307,382
1614.jpg,205,174,239
831.jpg,228,359,377
3883.jpg,250,281,363
8641.jpg,214,78,414
4464.jpg,275,111,431
5339.jpg,240,399,274
8066.jpg,257,465,257
1649.jpg,207,81,317
4065.jpg,253,400,164
9665.jpg,222,310,63
3038.jpg,252,384,302
3320.jpg,323,358,387
7143.jpg,283,166,329
6889.jpg,276,154,460
5092.jpg,274,147,470
3720.jpg,286,116,280
2423.jpg,313,415,372
749.jpg,321,334,377
5271.jpg,243,253,456
2373.jpg,256,82,470
4693.jpg,315,73,234
9879.jpg,231,157,113
8370.jpg,302,444,300
7319.jpg,225,455,251
4368.jpg,254,221,467
6785.jpg,311,477,403
7401.jpg,301,219,361
1139.jpg,320,168,207
7631.jpg,322,293,173
2231.jpg,309,217,318
2164.jpg,260,355,420
5217.jpg,294,378,92
9444.jpg,256,251,428
9237.jpg,256,126,147
4561.jpg,224,331,255
1570.jpg,253,78,258
172.jpg,279,366,358
7163.jpg,217,122,229
2087.jpg,296,488,450
4667.jpg,277,412,270
4565.jpg,247,380,167
7089.jpg,309,384,330
6569.jpg,261,157,303
4783.jpg,304,73,304
2684.jpg,309,423,420
1832.jpg,237,64,292
8546.jpg,288,384,360
5065.jpg,223,180,465
9130.jpg,299,420,436
9355.jpg,324,458,114
4412.jpg,297,288,170
7207.jpg,233,177,423
9890.jpg,206,129,241
834.jpg,224,161,208
6821.jpg,244,170,427
3781.jpg,287,166,178
9012.jpg,211,181,325
7499.jpg,252,148,468
3424.jpg,297,273,272
65.jpg,295,272,95
2963.jpg,259,83,166
5669.jpg,238,254,161
8962.jpg,308,369,247
354.jpg,249,271,112
8171.jpg,226,420,195
4030.jpg,204,425,204
8534.jpg,248,98,181
3651.jpg,216,383,227
6739.jpg,279,227,490
3297.jpg,228,236,115
4127.jpg,262,313,208
8043.jpg,274,302,384
4767.jpg,278,182,97
472.jpg,223,426,305
3761.jpg,297,421,85
8617.jpg,286,382,99
3566.jpg,317,254,481
2760.jpg,301,376,361
868.jpg,205,133,369
9382.jpg,317,276,198
8688.jpg,317,347,261
4052.jpg,266,495,148
6130.jpg,213,313,218
3244.jpg,244,206,199
4842.jpg,276,348,441
9330.jpg,277,206,358
5640.jpg,266,66,442
5780.jpg,204,242,121
8540.jpg,312,132,455
1075.jpg,236,383,379
2957.jpg,260,471,436
6752.jpg,268,280,373
8657.jpg,225,113,393
7272.jpg,218,184,299
4759.jpg,224,148,434
4862.jpg,254,324,333
7025.jpg,211,304,374
7647.jpg,289,107,90
7161.jpg,280,465,384
73.jpg,275,272,106
4901.jpg,267,128,190
4375.jpg,221,296,153
6698.jpg,250,318,233
9805.jpg,226,475,243
1101.jpg,272,134,368
9537.jpg,229,169,476
7655.jpg,294,324,477
5235.jpg,225,202,348
5165.jpg,298,112,329
118.jpg,314,71,177
2022.jpg,281,418,327
9885.jpg,222,216,84
2638.jpg,212,462,65
2034.jpg,235,380,185
2564.jpg,220,346,327
8665.jpg,219,331,201
3543.jpg,283,460,491
1219.jpg,285,496,384
9714.jpg,256,224,420
6711.jpg,282,321,333
2903.jpg,263,476,229
3026.jpg,306,456,485
2510.jpg,251,471,147
4201.jpg,235,221,297
3207.jpg,275,422,162
4489.jpg,323,498,79
2755.jpg,250,165,402
8889.jpg,296,481,151
177.jpg,289,338,329
1643.jpg,293,167,481
9292.jpg,219,141,421
3518.jpg,248,240,223
1374.jpg,259,297,154
1720.jpg,224,239,316
3995.jpg,243,486,281
3688.jpg,237,229,200
2264.jpg,212,424,363
87.jpg,292,465,424
2848.jpg,300,408,214
8687.jpg,234,311,285
403.jpg,327,112,147
9900.jpg,239,198,158
4077.jpg,217,356,379
6835.jpg,289,145,285
6537.jpg,207,417,205
2456.jpg,217,246,390
2751.jpg,235,488,458
2214.jpg,251,412,101
1027.jpg,328,168,283
9703.jpg,211,399,125
1421.jpg,292,140,220
2436.jpg,263,132,348
